text,sentiment,text_clean
"sudah aplikasi lemot, pertama buka langsung diarahkan live",negatif,aplikasi lambat buka langsung arah live
banyak diskon voucher nya,positif,diskon voucher nya
makin lambat pengiriman males,negatif,lambat kirim malas
nice apk,positif,nice aplikasi
memuaskan,positif,muas
aplikasi nya bagus dan sangat membantu,positif,aplikasi nya bagus bantu
Sangat bagus tapi saran tambah lagi kelengkapan barang dan bedakan antara barang original dan kw,positif,bagus saran lengkap barang beda barang original kw
ongkos kirim jauh lebih murah,positif,ongkos kirim murah
shopee terbaik,positif,shopee baik
semoga kedepan Shopee lebih sukses,positif,moga depan shopee sukses
"buat shoppe kalau orang pengajuan barang dan dana tu langsung di balikin uang nya, bukan butuh validasi lah izin shoppe lah ribbet banget, jujur shoppe sekarang kerja nya lelet parah!",negatif,shoppe orang aju barang dana tu langsung balikin uang nya butuh validasi izin shoppe ribbet jujur shoppe kerja nya lelet parah
belanja dengan COD cek dulu mengurangi penjual yang menjual produknya yang ngak sesuai di gambar atau video.,positif,belanja cod cek kurang jual jual produk ngak sesuai gambar video
bagus barangnya murah-murah tapi kadang GK sesuai ekspektasi karna banyak editan,positif,bagus barang murahmurah kadang gk sesuai ekspektasi edit
Pelayanan okey,positif,layan okey
mantap dan memudahkan mencari kebutuhan👍👍,positif,mantap mudah cari butuh
pelayanan sangat mengecewakan apalagi soal pengembalian dana hadeuh jawabna nya sama ditolak tiga kali sampai minimal memperhatikan konsep keadilan lah,negatif,layan kecewa kembali dana hadeuh jawabna nya tolak kali minimal perhati konsep adil
bagus banget,positif,bagus
tidak bisa cod lagi,netral,cod
"sebagai pembeli di shopee yang sudah lebih dari 5 tahun. di tahun 2025 ini sangat kecewa dengan shopee terkait jasa kirim jnt yang dihapus. saya rasa spx kurang bagus. contoh nya spx DC CAKUNG 2 disan barang sering stuck dan berujung hilang. bahkan stuck nya berminggu minggu sampe paket cancel otomatis dari sistem. coba aja cek ulasan google DC CAKUNG 2. ada 400 ulasan dengan bintang hanya 1,4. klo memang spx blm mampu tolong jgn dihapus jnt. klo kaya gini terus aku yakin pembeli bakal beralih.",negatif,beli shopee kecewa shopee kait jasa kirim jnt hapus spx bagus contoh nya spx dc cakung disan barang stuck ujung hilang stuck nya minggu minggu paket cancel otomatis sistem coba cek ulas google dc cakung ulas bintang spx tolong hapus jnt kaya gin beli alih
baik dan bagus,positif,bagus
"aman berbelanja, krn shopee memantau",positif,aman belanja shopee pantau
kendala yang di laporkan tidak pernah di tangani dengan baik,negatif,kendala lapor tangan
josss mantap,positif,josss mantap
barang sesuai sama difoto,positif,barang sesuai foto
baranx disini sangat bagus2,positif,baranx bagus
dengan Shopee semua jadi mudah,positif,shopee mudah
Pesana sekarang lama sampai gak kaya dulu (hari ini dikirim besok lagi diulang kapan sampainya),negatif,sana kaya kirim besok ulang sampai
Mantap,positif,mantap
good,positif,good
bagus,positif,bagus
Sangat amanah,positif,amanah
Top,positif,top
harga lebih murah pengiriman lebih cepat,positif,harga murah kirim cepat
amanah,positif,amanah
pokoknya puas banget belanja di shopee,positif,pokok puas belanja shopee
nyebelin tiap buka aplikasi langsung ke video bikin gak nyaman,netral,nyebelin buka aplikasi langsung video bikin nyaman
ok,positif,tuju
saya sangat senang belanja di Shopee,positif,senang belanja shopee
mantap,positif,mantap
murah,positif,murah
"bagus, banyak promo diskonnya",positif,bagus promo diskon
manteppp,positif,manteppp
"mantap shopee, ada shopeee mau belanja apapun tenang dan ga perlu ribet kemana2,terima kasih shopee, ga nyesel udah 8th punya aplikasi ini",positif,mantap shopee shopeee belanja apa tenang ribet kemanaterima kasih shopee nyesel udah th aplikasi
selama ini pesan barang sesuai ekspektasi terimakasih,positif,pesan barang sesuai ekspektasi terimakasih
puas,positif,puas
alhamdulillah barang sesuai cepat dteng nya,positif,alhamdulillah barang sesuai cepat dteng nya
sangat membantu sekali,positif,bantu
Buruk banget nih aplikasi sekarang pengiriman spx-nya apalagi selalu lewat dari estimasi pengiriman gedeg banget gw anjirrr,negatif,buruk nih aplikasi kirim spxnya estimasi kirim gedeg anjirrr
aku belnja terus tapi gk pernah jualan,positif,belnja gk jual
"dari penjual sudah dikirim sesuai alamat sampai nya di tempat di sortir dan di kirim ke alamat pembeli tapi kurir nya gak sampai2 lebih dari tgl yg di tentukan atau menyerah kan pesanan barang,mohon tindak lanjutkan hubungan nya dgn kurir dan tidak ada konfirmasi barang bukti yg di serahkan pesanan barangnya.",negatif,jual kirim sesuai alamat nya sortir kirim alamat beli kurir nya tgl tentu serah pesan barangmohon tindak lanjut hubung nya kurir konfirmasi barang bukti serah pesan barang
Berbelanja dgn praktis,positif,belanja praktis
brang barangnya sangat murah tp brang GK murahan... sangat terjangkau bagi konsumen..mantap shoppy smoga sukses slalu,positif,brang barang murah tp brang gk murah jangkau konsumenmantap shoppy smoga sukses slalu
sgt membantu bwt blanja online,positif,sgt bantu blanja online
sangat membantu dalam berbelanja,positif,bantu belanja
"aplikasi buriiiiikkkk, ajg bgt lgi buka Web tiba tiba iklan sopii cod sopii cod, pas main game juga iklan nya sopiii mulu sopii mulu, ajg dah",negatif,aplikasi buriiiiikkkk ajg banget lgi buka web iklan sopi cod sopi cod pas main game iklan nya sopiii mulu sopi mulu ajg dah
ngeleg banget bangsat,negatif,ngeleg bangsat
"1. pesanan sering terlambat datang, 2. status pesanan tidak jelas, sudah sampai ke kab, malah balik lagi ke provinsi. 3. tanggal estimasi berubah, padahal waktu mememasan tgl 20, sudah tgl 19 malah tertulis tgl 21. bisa nambah waktu pengirimannya.",negatif,pesan lambat status pesan kab provinsi tanggal estimasi ubah mas tgl tgl tulis tgl nambah kirim
jd pingin blnja ttrus,positif,pingin blnja ttrus
shope bagus banget,positif,shope bagus
User-friendly and full of amazing offers. Shopee makes online shopping easy and fun! Fast shipping and great customer service.,positif,userfriendly and full of amazing offers shopee makes online shopping easy and fun fast shipping and great customer service
Sangat membantu keperluan dan harga jg sesuai,positif,bantu perlu harga sesuai
Shopee memang mantap,positif,shopee mantap
"Pengiriman Cepat dan Tepat, Insyaallah ga tipu tipu",positif,kirim cepat insyaallah tipu tipu
jos,positif,jos
semoga akan lebih baik lagi kedepannya terimakasih shopee,positif,moga depan terimakasih shopee
mantep,positif,mantep
"Super app, mudah digunakan, responsif, fitur lengkap, desain intuitif, sangat membantu, dan benar-benar worth it! Aplikasi yang wajib dimiliki dan sangat recommended untuk semua pengguna!",positif,super app mudah responsif fitur lengkap desain intuitif bantu benarbenar worth it aplikasi wajib milik recommended guna
"saya suka belanja di shopee,karna barang yg aku beli selalu sesuai dengan seleraku",positif,suka belanja shopeekarna barang beli sesuai selera
selama ini cukup memuaskan,positif,muas
sangat puas,positif,puas
mantaaap,positif,mantaaap
"suka banget dgn shopee, produk banyak, harga bersaing dan bagus.",positif,suka shopee produk harga saing bagus
aplikasi sangat bagus,positif,aplikasi bagus
mantap bingit,positif,mantap bingit
belanja irit dan mudah dan nyamam,positif,belanja irit mudah nyamam
suka apk nya karna ini sangat membantu,positif,suka aplikasi nya bantu
Amanah,positif,amanah
oke,positif,tuju
sangat cocok untuk Anda,positif,cocok
"Saya suka karna pengiriman nya cepat dan tkonya amah""",positif,suka kirim nya cepat tkonya amah
selalu yang terbaik,positif,baik
memuaskan dan barang pesanan sesuai dgn harapan,positif,muas barang pesan sesuai harap
"Bagus-bagus Barangnya Selalu Sesuai Sama Yang Difoto, Pokonya Puas Belanja Di Shopee",positif,bagusbagus barang sesuai foto poko puas belanja shopee
aplikasi sampah .. penipuan..banyak barang ga sesuai .,negatif,aplikasi sampah penipuanbanyak barang sesuai
"9 tahun setia di toko Oren, semua barang yg aku punya smua dari toko Oren, ah poko nya mantap bngt belanja disini. gak pernah kecewa,. semua barang sesuai harga dan kualitas❤️",positif,setia toko oren barang smua toko oren ah poko nya mantap banget belanja kecewa barang sesuai harga kualitas
sangat membantu sekali.terimakasih,positif,bantu sekaliterimakasih
aplikatif,positif,aplikatif
sangat bagus dan baik sekali,positif,bagus
senang belanja di shopee,positif,senang belanja shopee
pelayanan shopee memang tiada duanya,positif,layan shopee tiada dua
membantu,positif,bantu
pengiriman tepat waktu,positif,kirim
Keren,positif,keren
shoope josjis,positif,shoope josjis
Makin tidak jelas masa baru buat akun dan belanja beberapa barang udah kena pembatalan otomatis. alasan tidak wajar. skalian aja tidak manusiawi.,negatif,akun belanja barang udah kena batal otomatis alas wajar skalian manusiawi
Saya Pelayanan yang Bagi Para pelanggan Shopee Food,positif,layan langgan shopee food
sangat bagus,positif,bagus
"pelayananx cepat dan mudah utk org yg SDH tua dan gaptek SPT sy, sangat mudah dan sangat membantu utk kebutuhan se hari2 sy🙏",positif,pelayananx cepat mudah org sdh tua gaptek spt sy mudah bantu butuh sy
OKEY...MANTAP...,positif,okeymantap
kurir spx gak kayak jnt menurut saya terlalu lambat pengiriman nya beda sama jaman jnt,negatif,kurir spx jnt lambat kirim nya beda jaman jnt
harga murah dan pengiriman cepat,positif,harga murah kirim cepat
aplikasi ok....banyak voucher gratis nya,positif,aplikasi okbanyak voucher gratis nya
barang murah murah,positif,barang murah murah
"udah pesan barang yang estimasinya hanya 4-5 hari tiba² berubah jadi 2 minggu, udah gitu setelah dikirim barangnya bisa ngendap di gudang sampai 3 hari dan itu pun belum tentu pesanannya akan sampai tepat waktu",negatif,udah pesan barang estimasi tiba ubah minggu udah kirim barang ngendap gudang pesan
5 bintang,positif,bintang
sakjose,positif,sakjose
"setiap pembelian barang selalu bermasalah di paketnya yg rusak, dan tidak ada nomor penjual yg bisa di hubungi untuk melaporkan",negatif,beli barang masalah paket rusak nomor jual hubung lapor
apikk,positif,apikk
agak di tingkatkan kualitas barangnya untuk pihak2 yg udah bekerja sama Ama Shopee...,positif,tingkat kualitas barang udah ama shopee
bagus tapi kenapa harus ada ongkir ya..?,positif,bagus ongkir ya
cepat dalam menanggapi keluhan customer 👌,positif,cepat tanggap keluh customer
sangat menyenangkan,positif,senang
mantaaaap,positif,mantaaaap
"wewe hjjjjj,PP BEBEK BEBEK DEDE DEDE HJKNNNJJJBBBBJJJ HJJJJJJ reggae bebek bebek 🦆🦆🦆🦆🦆 yh hjj Nok blom ji Bun kok nop no kok hjjjj mau tanya dongdnendo BB",positif,wewe hjjjjjpp bebek bebek dede dede hjknnnjjjbbbbjjj hjjjjjj reggae bebek bebek yh hjj nok blom ji bun nop no hjjjj dongdnendo bb
"shopee nyebelin bngt anjay skrng, masa iya gw mau beli barang aja kudu ngutang biar dpt diskon, orng mau byr lngsng aj g ada diskonnya, mending ke tiktok",negatif,shopee nyebelin banget anjay skrng iya beli barang kudu ngutang biar diskon orng byr lngsng g diskon tiktok
pelayanannya memuaskan... transaksi aman......,positif,layan muas transaksi aman
suka....,positif,suka
setiap belanja di shopee tdk mengecewakan,positif,belanja shopee tdk kecewa
kurang cepat tapi lumayan lah krna udah ada cod cek ditempat,positif,cepat lumayan udah cod cek tempat
makasih untuk shopee saya tidak pernah ketipu lagi barangnya,positif,makasih shopee tipu barang
pokoknya belanja dishopee g rugi,positif,pokok belanja dishopee g rugi
Qqq68 ups iya p,positif,qqq ups iya pergi
"pengirimannya sekarang lama gak kayak dulu,dulu kalau estimasi sampai tgl 1-3 pasti tgl 1 sudah datang tapi sekarang gak",negatif,kirim duludulu estimasi tgl tgl
pertingkatkan lagu kualitasnya,positif,tingkat lagu kualitas
mantap shopee ini top nian . kurir nya ramah ramah.....,positif,mantap shopee top nian kurir nya ramah ramah
Shopee oke.,positif,shopee tuju
Tempat belanja paling gampang 👍👍👍,positif,belanja gampang
"Dari beberapa indikator penilaian saya, shopee ini sangat memuaskan. Namun dalam 2 Minggu ini saya menemukan 1 kendala yaitu saat mengupload video dan foto penilaian selalu gagal dengan keterangan ""Terjadi kesalahan. Mohon mencoba lagi nanti"". Saya sudah berusaha update versi terbaru, clear cache, dan cek ijin aplikasi pada handphone, bahkan menggunakan wifi yang lebih cepat speednya, tapi tetap saja tidak bisa upload foto dan video. Mohon perbaikannya ya Shopee.",positif,indikator nilai shopee muas minggu temu kendala mengupload video foto nilai gagal terang salah mohon coba usaha update versi baru clear cache cek ijin aplikasi handphone wifi cepat speednya upload foto video mohon baik ya shopee
banyak diskon dan gratis ongkir,positif,diskon gratis ongkir
"shopee skrg gk kyk dlu,,, pengiriman nya kalo cod suka di batalin sama abang paket sesuka hati mreka,, pdhal kita sudah konfirmasi akan di ambil ke kntor,, dan pda hari yg sama kita ke kantor mlh di retur sama org kntor,,, dlu kalo kita gk ada di rumh, besoknya paket di anter lg, skrg mlh di retur sesuka hti pdhl sudah kita konfirmasi",negatif,shopee skrg gk kirim nya cod suka batalin abang paket suka hati mreka pdhal konfirmasi ambil kntor pda kantor retur org kntor gk rumh besok paket anter skrg retur suka hti konfirmasi
sangat membantu untuk jualan online,positif,bantu jual online
iklan nya mengangu anjen*,negatif,iklan nya mengangu anjen
"saran... SPX EXPRESS lbh diperhatikan lg, cari kurir yg kompeten",negatif,saran spx express perhati cari kurir kompeten
kok ngelek ya,negatif,ngelek ya
biarpun beberapa x pernah kecewa karena produk yg dipesan tidak sesuai diskripsi tp secara keseluruhan saya puas belanja dishopee apalagi kalau gratis ongkir diperbanyak dan semua produk bisa bayar cod.soalnya agak trauma kalau yg bayar TF beberapa x udh tf barang malah gak datang,positif,biarpun x kecewa produk pes sesuai skripsi tp puas belanja dishopee gratis ongkir banyak produk bayar codsoalnya trauma bayar tf x tf barang
aplikasi belanja online termurah dn lengkap,positif,aplikasi belanja online murah dn lengkap
buruk,negatif,buruk
aplikasi busuk,negatif,aplikasi busuk
sangat membantu,positif,bantu
Goood,positif,goood
shopee belanja tanpa ribet,positif,shopee belanja ribet
sangat membantu untuk berbelanja,positif,bantu belanja
BagusMbatu Terima kasih telah berpartisipasi seputar produk dan layanan Telkomsel ekadame Terima kasih,positif,bagusmbatu terima kasih partisipasi putar produk layan telkomsel ekadame terima kasih
sangat membantu saat belanja dan murah dengan gratis ongkirnya...,positif,bantu belanja murah gratis ongkirnya
kau tau yang ku mau,positif,kau tau ku
aplikasi yg sangat baik untuk berbelanja online,positif,aplikasi belanja online
"berikan selalu barang-barang yg berkualitas ,real, pic harga terjangkau.",positif,barangbarang kualitas real pic harga jangkau
senang berbelanja disini ❤️❤️🌻,positif,senang belanja
shopee yes,positif,shopee yes
akuu suka bngt ama shope nya gk lemot😻😻,positif,akuu suka banget ama shope nya gk lot
"Pada umumnya pembelian online lewat Shopee berjalan dg baik. Komplain pengembalian dilayani dg baik. Ada satu kasus, ada pengurangan saldo keuangan di aplikasi Shopee yg pembeli tdk merasa melakukan transaksi pembelian barang yg hingga saat belum ada tindak lanjutnya. Tksh.",positif,beli online shopee jalan komplain kembali layan kurang saldo uang aplikasi shopee beli tdk transaksi beli barang tindak tksh
buka aplikasi langsung video pendek... ni aplikasi belanja atau aplikasi nonton video... tolong shopee perbaikannya ini makin ke sini makin ngaco,negatif,buka aplikasi langsung video pendek ni aplikasi belanja aplikasi nonton video tolong shopee baik ngaco
Mantap terimakasih,positif,mantap terimakasih
matap,positif,matap
pembelian barang murah dan berkualitas,positif,beli barang murah kualitas
gak ribet,positif,ribet
bagus banget barang barang yg di jual murah murah,positif,bagus barang barang jual murah murah
Belanja di shopee sangat menyenangkan...👍🏼👍🏼 tapi sekarang sudah makin mahal biaya layanannya dll,netral,belanja shopee senang mahal biaya layan dll
belanja d shoope lebih mudah .. pengiriman x jg lebih cepat,positif,belanja shoope mudah kirim x cepat
Shopee binatang masa lagi di google dipaksa buka shopi di tulisanya diskon 60 persen tapi kenyataannya ngak disuruh paksa beli lagi pokoknya shopi ga cocok untuk belanja padahal saya lagi penting banget di google malah ke sopee malas kali saya,negatif,shopee binatang google paksa buka shopi tulisanya diskon persen nyata ngak suruh paksa beli pokok shopi cocok belanja google sopee malas kali
sangat puas menggunakan Shopee inii suka bangettt,positif,puas shopee ini suka bangettt
"bagus banget sepatunya, nyaman d pakenya pokoknya ga nyesel beli d sini.",positif,bagus sepatu nyaman pakenya pokok nyesel beli
pelacakan barang mudah dan ongkir murh,positif,lacak barang mudah ongkir murh
"bagus,tapiii berat banget aplikasinya",positif,bagustapiii berat aplikasi
shopee bokep paket gwe dah lebih dari 2minggu gak datang datang mana barang²nya diaini mahal lagi mending beli ditiktok lebih murah lebih cepat,negatif,shopee bokep paket gwe dah minggu barang nya ain mahal beli ditiktok murah cepat
"ga lagi lagi deh pake aplikasi ini, pengembalian dana nya lama,ribet,udah lewat tanggal yg di tentukan tetap saja belum di kembalikan dana saya,ga bakalan deh saya pake aplikasi ini lagi,ribet nyaa ga ketolong,cuman mau ngasih pesen ke admin kembalikan dana saya",negatif,deh pake aplikasi kembali dana nya lamaribetudah tanggal tentu kembali dana sayaga deh pake aplikasi lagiribet nyaa ketolongcuman sen admin kembali dana
saya suka,positif,suka
belanja jadi mudah dan aman,positif,belanja mudah aman
playanan ok skarang tambah tame spx tambah lemot kbnyakan orderan,positif,playanan tuju skarang tame spx lambat kbnyakan order
bagus amanah,positif,bagus amanah
shoope memang berguna,positif,shoope guna
pokoknya sejak ada Shopi semua yg susah jd mudah selama ini apa2 mau ke pasar sekrng ada semua dishopi TKS bagi yg sudah buat aplikasi ini,positif,pokok shopi susah mudah pasar sekrng dishopi tks aplikasi
"Shopee tolong diperbaiki, aplikasinya sangat berat, padahal data aman tapi enggak bisa karena aplikasi Shopee berat banget",negatif,shopee tolong baik aplikasi berat data aman aplikasi shopee berat
mantapp,positif,mantapp
