text,score,timestamp
"sudah aplikasi lemot, pertama buka langsung diarahkan live",1,2025-10-19 15:41:14
banyak diskon voucher nya,5,2025-10-19 15:40:18
makin lambat pengiriman males,1,2025-10-19 15:40:17
sangat baik,5,2025-10-19 15:39:58
nice apk,5,2025-10-19 15:39:54
memuaskan,4,2025-10-19 15:39:20
aplikasi nya bagus dan sangat membantu,5,2025-10-19 15:38:48
Sangat bagus tapi saran tambah lagi kelengkapan barang dan bedakan antara barang original dan kw,5,2025-10-19 15:36:19
ongkos kirim jauh lebih murah,5,2025-10-19 15:35:10
shopee terbaik,5,2025-10-19 15:33:50
memuaskan,5,2025-10-19 15:33:30
semoga kedepan Shopee lebih sukses,5,2025-10-19 15:32:50
"buat shoppe kalau orang pengajuan barang dan dana tu langsung di balikin uang nya, bukan butuh validasi lah izin shoppe lah ribbet banget, jujur shoppe sekarang kerja nya lelet parah!",1,2025-10-19 15:32:35
👍,5,2025-10-19 15:31:25
belanja dengan COD cek dulu mengurangi penjual yang menjual produknya yang ngak sesuai di gambar atau video.,5,2025-10-19 15:30:41
bagus barangnya murah-murah tapi kadang GK sesuai ekspektasi karna banyak editan,4,2025-10-19 15:30:07
Pelayanan okey,5,2025-10-19 15:28:38
mantap dan memudahkan mencari kebutuhan👍👍,5,2025-10-19 15:27:49
pelayanan sangat mengecewakan apalagi soal pengembalian dana hadeuh jawabna nya sama ditolak tiga kali sampai minimal memperhatikan konsep keadilan lah,1,2025-10-19 15:26:46
bagus banget,5,2025-10-19 15:26:13
tidak bisa cod lagi,3,2025-10-19 15:26:08
"sebagai pembeli di shopee yang sudah lebih dari 5 tahun. di tahun 2025 ini sangat kecewa dengan shopee terkait jasa kirim jnt yang dihapus. saya rasa spx kurang bagus. contoh nya spx DC CAKUNG 2 disan barang sering stuck dan berujung hilang. bahkan stuck nya berminggu minggu sampe paket cancel otomatis dari sistem. coba aja cek ulasan google DC CAKUNG 2. ada 400 ulasan dengan bintang hanya 1,4. klo memang spx blm mampu tolong jgn dihapus jnt. klo kaya gini terus aku yakin pembeli bakal beralih.",1,2025-10-19 15:25:50
baik dan bagus,5,2025-10-19 15:25:43
"aman berbelanja, krn shopee memantau",5,2025-10-19 15:24:40
kendala yang di laporkan tidak pernah di tangani dengan baik,1,2025-10-19 15:24:15
josss mantap,5,2025-10-19 15:22:35
barang sesuai sama difoto,5,2025-10-19 15:21:09
baranx disini sangat bagus2,5,2025-10-19 15:20:58
dengan Shopee semua jadi mudah,5,2025-10-19 15:20:39
Pesana sekarang lama sampai gak kaya dulu (hari ini dikirim besok lagi diulang kapan sampainya),1,2025-10-19 15:18:28
Mantap,5,2025-10-19 15:17:43
good,5,2025-10-19 15:15:16
bagus,5,2025-10-19 15:14:23
Sangat amanah,5,2025-10-19 15:12:37
Top,4,2025-10-19 15:12:37
harga lebih murah pengiriman lebih cepat,5,2025-10-19 15:11:11
amanah,5,2025-10-19 15:10:37
pokoknya puas banget belanja di shopee,5,2025-10-19 15:10:10
nyebelin tiap buka aplikasi langsung ke video bikin gak nyaman,3,2025-10-19 15:08:47
ok,5,2025-10-19 15:08:32
bagus,5,2025-10-19 15:07:01
saya sangat senang belanja di Shopee,5,2025-10-19 15:06:47
mantap,5,2025-10-19 15:05:09
murah,5,2025-10-19 15:05:09
"bagus, banyak promo diskonnya",5,2025-10-19 15:04:39
manteppp,5,2025-10-19 15:03:51
"mantap shopee, ada shopeee mau belanja apapun tenang dan ga perlu ribet kemana2,terima kasih shopee, ga nyesel udah 8th punya aplikasi ini",5,2025-10-19 15:03:12
mantap,5,2025-10-19 15:02:41
selama ini pesan barang sesuai ekspektasi terimakasih,5,2025-10-19 15:02:13
puas,5,2025-10-19 15:02:03
alhamdulillah barang sesuai cepat dteng nya,5,2025-10-19 14:58:30
sangat membantu sekali,5,2025-10-19 14:58:27
mantap,5,2025-10-19 14:58:21
Buruk banget nih aplikasi sekarang pengiriman spx-nya apalagi selalu lewat dari estimasi pengiriman gedeg banget gw anjirrr,1,2025-10-19 14:56:49
bagus,5,2025-10-19 14:56:28
aku belnja terus tapi gk pernah jualan,5,2025-10-19 14:55:30
"dari penjual sudah dikirim sesuai alamat sampai nya di tempat di sortir dan di kirim ke alamat pembeli tapi kurir nya gak sampai2 lebih dari tgl yg di tentukan atau menyerah kan pesanan barang,mohon tindak lanjutkan hubungan nya dgn kurir dan tidak ada konfirmasi barang bukti yg di serahkan pesanan barangnya.",1,2025-10-19 14:55:13
Berbelanja dgn praktis,5,2025-10-19 14:55:08
brang barangnya sangat murah tp brang GK murahan... sangat terjangkau bagi konsumen..mantap shoppy smoga sukses slalu,5,2025-10-19 14:54:43
sgt membantu bwt blanja online,5,2025-10-19 14:54:20
sangat membantu dalam berbelanja,5,2025-10-19 14:52:21
"aplikasi buriiiiikkkk, ajg bgt lgi buka Web tiba tiba iklan sopii cod sopii cod, pas main game juga iklan nya sopiii mulu sopii mulu, ajg dah",1,2025-10-19 14:47:41
ngeleg banget bangsat,1,2025-10-19 14:47:05
"1. pesanan sering terlambat datang, 2. status pesanan tidak jelas, sudah sampai ke kab, malah balik lagi ke provinsi. 3. tanggal estimasi berubah, padahal waktu mememasan tgl 20, sudah tgl 19 malah tertulis tgl 21. bisa nambah waktu pengirimannya.",1,2025-10-19 14:46:13
jd pingin blnja ttrus,5,2025-10-19 14:42:43
ok,4,2025-10-19 14:41:54
shope bagus banget,5,2025-10-19 14:41:31
User-friendly and full of amazing offers. Shopee makes online shopping easy and fun! Fast shipping and great customer service.,5,2025-10-19 14:41:21
mantap,1,2025-10-19 14:40:19
Sangat membantu keperluan dan harga jg sesuai,5,2025-10-19 14:39:36
Shopee memang mantap,5,2025-10-19 14:39:36
"Pengiriman Cepat dan Tepat, Insyaallah ga tipu tipu",5,2025-10-19 14:37:06
jos,5,2025-10-19 14:36:14
good,5,2025-10-19 14:36:08
semoga akan lebih baik lagi kedepannya terimakasih shopee,5,2025-10-19 14:36:07
𝒎𝒆𝒎𝒃𝒂𝒏𝒕𝒖 𝒃𝒏𝒈𝒕,5,2025-10-19 14:36:06
mantep,5,2025-10-19 14:35:03
"Super app, mudah digunakan, responsif, fitur lengkap, desain intuitif, sangat membantu, dan benar-benar worth it! Aplikasi yang wajib dimiliki dan sangat recommended untuk semua pengguna!",5,2025-10-19 14:34:57
"saya suka belanja di shopee,karna barang yg aku beli selalu sesuai dengan seleraku",5,2025-10-19 14:34:16
selama ini cukup memuaskan,5,2025-10-19 14:33:33
sangat puas,5,2025-10-19 14:32:40
mantaaap,5,2025-10-19 14:32:39
cukup baik,2,2025-10-19 14:32:23
"suka banget dgn shopee, produk banyak, harga bersaing dan bagus.",5,2025-10-19 14:31:51
mantap,5,2025-10-19 14:31:48
aplikasi sangat bagus,5,2025-10-19 14:31:41
mantap bingit,5,2025-10-19 14:31:12
belanja irit dan mudah dan nyamam,5,2025-10-19 14:30:32
suka apk nya karna ini sangat membantu,5,2025-10-19 14:29:13
Amanah,5,2025-10-19 14:28:40
oke,5,2025-10-19 14:26:49
sangat cocok untuk Anda,5,2025-10-19 14:25:30
"Saya suka karna pengiriman nya cepat dan tkonya amah""",5,2025-10-19 14:24:57
selalu yang terbaik,5,2025-10-19 14:24:28
memuaskan dan barang pesanan sesuai dgn harapan,5,2025-10-19 14:24:08
bagus,5,2025-10-19 14:23:09
"Bagus-bagus Barangnya Selalu Sesuai Sama Yang Difoto, Pokonya Puas Belanja Di Shopee",5,2025-10-19 14:22:31
aplikasi sampah .. penipuan..banyak barang ga sesuai .,1,2025-10-19 14:22:02
cukup baik,5,2025-10-19 14:21:42
"9 tahun setia di toko Oren, semua barang yg aku punya smua dari toko Oren, ah poko nya mantap bngt belanja disini. gak pernah kecewa,. semua barang sesuai harga dan kualitas❤️",5,2025-10-19 14:20:01
sangat membantu sekali.terimakasih,5,2025-10-19 14:19:53
Lo Lo l Lo,4,2025-10-19 14:19:46
aplikatif,5,2025-10-19 14:18:44
mantap,5,2025-10-19 14:18:04
sangat bagus dan baik sekali,5,2025-10-19 14:15:58
senang belanja di shopee,5,2025-10-19 14:13:20
pelayanan shopee memang tiada duanya,5,2025-10-19 14:12:28
membantu,5,2025-10-19 14:12:21
pengiriman tepat waktu,5,2025-10-19 14:12:16
Keren,5,2025-10-19 14:11:43
shoope josjis,5,2025-10-19 14:10:43
Makin tidak jelas masa baru buat akun dan belanja beberapa barang udah kena pembatalan otomatis. alasan tidak wajar. skalian aja tidak manusiawi.,1,2025-10-19 14:10:35
l.,3,2025-10-19 14:10:31
Saya Pelayanan yang Bagi Para pelanggan Shopee Food,5,2025-10-19 14:09:45
sangat bagus,5,2025-10-19 14:09:25
"pelayananx cepat dan mudah utk org yg SDH tua dan gaptek SPT sy, sangat mudah dan sangat membantu utk kebutuhan se hari2 sy🙏",5,2025-10-19 14:08:56
OKEY...MANTAP...,5,2025-10-19 14:07:53
kurir spx gak kayak jnt menurut saya terlalu lambat pengiriman nya beda sama jaman jnt,2,2025-10-19 14:06:57
harga murah dan pengiriman cepat,5,2025-10-19 14:06:01
aplikasi ok....banyak voucher gratis nya,5,2025-10-19 14:05:57
bagus,5,2025-10-19 14:05:33
barang murah murah,5,2025-10-19 14:05:20
"udah pesan barang yang estimasinya hanya 4-5 hari tiba² berubah jadi 2 minggu, udah gitu setelah dikirim barangnya bisa ngendap di gudang sampai 3 hari dan itu pun belum tentu pesanannya akan sampai tepat waktu",1,2025-10-19 14:05:02
5 bintang,5,2025-10-19 14:04:39
sakjose,5,2025-10-19 14:03:09
"setiap pembelian barang selalu bermasalah di paketnya yg rusak, dan tidak ada nomor penjual yg bisa di hubungi untuk melaporkan",1,2025-10-19 14:02:20
apikk,5,2025-10-19 14:02:02
bagus,5,2025-10-19 14:02:01
agak di tingkatkan kualitas barangnya untuk pihak2 yg udah bekerja sama Ama Shopee...,5,2025-10-19 14:01:21
bagus tapi kenapa harus ada ongkir ya..?,5,2025-10-19 14:00:44
cepat dalam menanggapi keluhan customer 👌,5,2025-10-19 14:00:30
sangat puas,5,2025-10-19 14:00:10
sangat menyenangkan,5,2025-10-19 14:00:04
good,5,2025-10-19 13:59:35
mantaaaap,5,2025-10-19 13:56:50
"wewe hjjjjj,PP BEBEK BEBEK DEDE DEDE HJKNNNJJJBBBBJJJ HJJJJJJ reggae bebek bebek 🦆🦆🦆🦆🦆 yh hjj Nok blom ji Bun kok nop no kok hjjjj mau tanya dongdnendo BB",5,2025-10-19 13:56:04
"shopee nyebelin bngt anjay skrng, masa iya gw mau beli barang aja kudu ngutang biar dpt diskon, orng mau byr lngsng aj g ada diskonnya, mending ke tiktok",1,2025-10-19 13:55:32
pelayanannya memuaskan... transaksi aman......,5,2025-10-19 13:54:37
🫨🫥🫥,5,2025-10-19 13:54:24
suka....,5,2025-10-19 13:54:05
setiap belanja di shopee tdk mengecewakan,5,2025-10-19 13:53:30
kurang cepat tapi lumayan lah krna udah ada cod cek ditempat,4,2025-10-19 13:53:06
makasih untuk shopee saya tidak pernah ketipu lagi barangnya,5,2025-10-19 13:52:17
pokoknya belanja dishopee g rugi,5,2025-10-19 13:51:14
Qqq68 ups iya p,4,2025-10-19 13:50:15
sangat puas,5,2025-10-19 13:49:43
"pengirimannya sekarang lama gak kayak dulu,dulu kalau estimasi sampai tgl 1-3 pasti tgl 1 sudah datang tapi sekarang gak",1,2025-10-19 13:48:37
pertingkatkan lagu kualitasnya,5,2025-10-19 13:48:26
mantap shopee ini top nian . kurir nya ramah ramah.....,5,2025-10-19 13:48:06
Shopee oke.,5,2025-10-19 13:47:32
Tempat belanja paling gampang 👍👍👍,5,2025-10-19 13:47:13
"Dari beberapa indikator penilaian saya, shopee ini sangat memuaskan. Namun dalam 2 Minggu ini saya menemukan 1 kendala yaitu saat mengupload video dan foto penilaian selalu gagal dengan keterangan ""Terjadi kesalahan. Mohon mencoba lagi nanti"". Saya sudah berusaha update versi terbaru, clear cache, dan cek ijin aplikasi pada handphone, bahkan menggunakan wifi yang lebih cepat speednya, tapi tetap saja tidak bisa upload foto dan video. Mohon perbaikannya ya Shopee.",5,2025-10-19 13:44:34
banyak diskon dan gratis ongkir,5,2025-10-19 13:43:53
mantap,5,2025-10-19 13:43:51
"shopee skrg gk kyk dlu,,, pengiriman nya kalo cod suka di batalin sama abang paket sesuka hati mreka,, pdhal kita sudah konfirmasi akan di ambil ke kntor,, dan pda hari yg sama kita ke kantor mlh di retur sama org kntor,,, dlu kalo kita gk ada di rumh, besoknya paket di anter lg, skrg mlh di retur sesuka hti pdhl sudah kita konfirmasi",2,2025-10-19 13:43:26
sangat membantu untuk jualan online,5,2025-10-19 13:42:27
iklan nya mengangu anjen*,1,2025-10-19 13:41:30
👍,5,2025-10-19 13:40:42
"saran... SPX EXPRESS lbh diperhatikan lg, cari kurir yg kompeten",1,2025-10-19 13:38:57
kok ngelek ya,2,2025-10-19 13:38:23
biarpun beberapa x pernah kecewa karena produk yg dipesan tidak sesuai diskripsi tp secara keseluruhan saya puas belanja dishopee apalagi kalau gratis ongkir diperbanyak dan semua produk bisa bayar cod.soalnya agak trauma kalau yg bayar TF beberapa x udh tf barang malah gak datang,5,2025-10-19 13:38:15
aplikasi belanja online termurah dn lengkap,5,2025-10-19 13:36:56
buruk,1,2025-10-19 13:36:53
aplikasi busuk,1,2025-10-19 13:36:17
sangat membantu,5,2025-10-19 13:34:41
Goood,5,2025-10-19 13:34:40
shopee belanja tanpa ribet,5,2025-10-19 13:33:15
baik,3,2025-10-19 13:32:29
sangat membantu untuk berbelanja,5,2025-10-19 13:32:27
sangat puas,5,2025-10-19 13:31:51
BagusMbatu Terima kasih telah berpartisipasi seputar produk dan layanan Telkomsel ekadame Terima kasih,5,2025-10-19 13:31:42
sangat membantu saat belanja dan murah dengan gratis ongkirnya...,5,2025-10-19 13:31:10
kau tau yang ku mau,5,2025-10-19 13:31:04
👍🏿,5,2025-10-19 13:29:51
aplikasi yg sangat baik untuk berbelanja online,5,2025-10-19 13:29:34
bagus,5,2025-10-19 13:29:06
"berikan selalu barang-barang yg berkualitas ,real, pic harga terjangkau.",5,2025-10-19 13:27:37
senang berbelanja disini ❤️❤️🌻,5,2025-10-19 13:27:11
shopee yes,5,2025-10-19 13:26:30
akuu suka bngt ama shope nya gk lemot😻😻,5,2025-10-19 13:26:00
"Pada umumnya pembelian online lewat Shopee berjalan dg baik. Komplain pengembalian dilayani dg baik. Ada satu kasus, ada pengurangan saldo keuangan di aplikasi Shopee yg pembeli tdk merasa melakukan transaksi pembelian barang yg hingga saat belum ada tindak lanjutnya. Tksh.",4,2025-10-19 13:25:57
buka aplikasi langsung video pendek... ni aplikasi belanja atau aplikasi nonton video... tolong shopee perbaikannya ini makin ke sini makin ngaco,1,2025-10-19 13:25:02
Mantap terimakasih,5,2025-10-19 13:25:02
matap,5,2025-10-19 13:24:51
pembelian barang murah dan berkualitas,5,2025-10-19 13:23:10
gak ribet,5,2025-10-19 13:22:53
oke,5,2025-10-19 13:21:43
bagus banget barang barang yg di jual murah murah,5,2025-10-19 13:20:55
😄,1,2025-10-19 13:20:47
Belanja di shopee sangat menyenangkan...👍🏼👍🏼 tapi sekarang sudah makin mahal biaya layanannya dll,3,2025-10-19 13:18:14
belanja d shoope lebih mudah .. pengiriman x jg lebih cepat,5,2025-10-19 13:18:01
Shopee binatang masa lagi di google dipaksa buka shopi di tulisanya diskon 60 persen tapi kenyataannya ngak disuruh paksa beli lagi pokoknya shopi ga cocok untuk belanja padahal saya lagi penting banget di google malah ke sopee malas kali saya,1,2025-10-19 13:17:48
sangat puas menggunakan Shopee inii suka bangettt,4,2025-10-19 13:15:04
"bagus banget sepatunya, nyaman d pakenya pokoknya ga nyesel beli d sini.",5,2025-10-19 13:13:44
